Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 13.16      0.03     0.03  8388608     0.00     0.00  polar_race::HashTable::Node::Node()
 10.53      0.05     0.02  4194310     0.00     0.00  std::mutex::mutex()
 10.53      0.07     0.02       44     0.45     0.46  polar_race::thread_load(int)
 10.53      0.09     0.02        2    10.00    14.08  mehcached_zeta(unsigned long, double, unsigned long, double)
  5.26      0.10     0.01  8388608     0.00     0.00  std::atomic<unsigned long>::atomic()
  5.26      0.11     0.01  1081300     0.00     0.00  polar_race::Write(int, void const*, unsigned long, int&)
  5.26      0.12     0.01   979921     0.00     0.00  mehcached_pow_approx(double, double)
  5.26      0.13     0.01   545952     0.00     0.00  std::mutex::unlock()
  5.26      0.14     0.01   331646     0.00     0.00  polar_race::PolarString::data() const
  5.26      0.15     0.01   208000     0.00     0.00  polar_race::get_mini_key(polar_race::PolarString const&)
  5.26      0.16     0.01   108130     0.00     0.00  polar_race::EngineRace::Write(polar_race::PolarString const&, polar_race::PolarString const&)
  5.26      0.17     0.01   108130     0.00     0.00  polar_race::MetaData::getTm()
  5.26      0.18     0.01    99870     0.00     0.00  polar_race::HashTable::GetItem(unsigned long, polar_race::FileGroup::Location&)
  5.26      0.19     0.01        1    10.00   105.86  bench_thread(int)
  2.63      0.19     0.01  8388608     0.00     0.00  std::atomic<polar_race::FileGroup::Location>::atomic()
  0.00      0.19     0.00  8388608     0.00     0.00  std::__atomic_base<unsigned char>::__atomic_base()
  0.00      0.19     0.00  8388608     0.00     0.00  std::__atomic_base<unsigned long>::__atomic_base()
  0.00      0.19     0.00  8388608     0.00     0.00  std::atomic<unsigned char>::atomic()
  0.00      0.19     0.00  4194310     0.00     0.00  std::__mutex_base::__mutex_base()
  0.00      0.19     0.00  1664000     0.00     0.00  polar_race::PolarString::operator[](unsigned long) const
  0.00      0.19     0.00  1092867     0.00     0.00  __gthread_active_p()
  0.00      0.19     0.00   546371     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      0.19     0.00   546243     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.00      0.19     0.00   546149     0.00     0.00  std::mutex::lock()
  0.00      0.19     0.00   532390     0.00     0.00  polar_race::PolarString::size() const
  0.00      0.19     0.00   434722     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.19     0.00   216811     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.19     0.00   216516     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.19     0.00   216516     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.19     0.00   216516     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      0.19     0.00   216516     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.00      0.19     0.00   216284     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.19     0.00   216268     0.00     0.00  std::deque<int, std::allocator<int> >::begin()
  0.00      0.19     0.00   216260     0.00     0.00  polar_race::FileGroup::returnFile(int)
  0.00      0.19     0.00   216260     0.00     0.00  polar_race::FileGroup::getFreeFile()
  0.00      0.19     0.00   216260     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      0.19     0.00   216260     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.19     0.00   216260     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.00      0.19     0.00   216260     0.00     0.00  std::deque<int, std::allocator<int> >::front()
  0.00      0.19     0.00   216260     0.00     0.00  std::deque<int, std::allocator<int> >::pop_front()
  0.00      0.19     0.00   216260     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::pop()
  0.00      0.19     0.00   216260     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::front()
